seed,participant,semantic_source,repetitions,resamples,top1_mean,top1_sd
29,sub-07,cornet-s,80,1,0.155,0.0
29,sub-07,dinov2,1,10,0.03200000000000001,0.00948683298050514
29,sub-07,dinov2,2,10,0.04150000000000001,0.015820169966779048
29,sub-07,dinov2,5,10,0.06699999999999999,0.009775252199076788
29,sub-07,dinov2,10,10,0.077,0.015311578770474467
29,sub-07,dinov2,20,10,0.0875,0.01438556375136006
29,sub-07,dinov2,40,10,0.0935,0.007472170590486631
29,sub-07,dinov2,80,1,0.105,0.0
29,sub-08,cornet-s,1,10,0.051500000000000004,0.012703892666773004
29,sub-08,cornet-s,2,10,0.06050000000000001,0.018020050561034014
29,sub-08,cornet-s,5,10,0.10400000000000001,0.019550504398153572
29,sub-08,cornet-s,10,10,0.1315,0.01972730763856707
29,sub-08,cornet-s,20,10,0.146,0.014681810363696828
29,sub-08,cornet-s,40,10,0.16949999999999998,0.017070116838759156
29,sub-08,cornet-s,80,1,0.155,0.0
29,sub-08,dinov2,1,10,0.0385,0.012703892666773003
29,sub-08,dinov2,2,10,0.05,0.013333333333333334
29,sub-08,dinov2,5,10,0.0745,0.014230249470757706
29,sub-08,dinov2,10,10,0.1135,0.014151953143569184
29,sub-08,dinov2,20,10,0.127,0.009189365834726819
29,sub-08,dinov2,40,10,0.14350000000000002,0.011796892246124256
29,sub-08,dinov2,80,1,0.155,0.0
29,sub-09,cornet-s,1,10,0.019499999999999997,0.00955975359979999
29,sub-09,cornet-s,2,10,0.0395,0.007619419633774972
29,sub-09,cornet-s,5,10,0.079,0.012649110640673518
29,sub-09,cornet-s,10,10,0.10850000000000001,0.014539218991709593
29,sub-09,cornet-s,20,10,0.128,0.01946506842754191
29,sub-09,cornet-s,40,10,0.153,0.014567848922274772
29,sub-09,cornet-s,80,1,0.18,0.0
29,sub-09,dinov2,1,10,0.0175,0.01296362432175337
29,sub-09,dinov2,2,10,0.025,0.009128709291752768
29,sub-09,dinov2,5,10,0.0505,0.01363207003111902
29,sub-09,dinov2,10,10,0.07799999999999999,0.011352924243950933
29,sub-09,dinov2,20,10,0.093,0.018439088914585774
29,sub-09,dinov2,40,10,0.0975,0.015855247992033708
29,sub-09,dinov2,80,1,0.1,0.0
29,sub-10,cornet-s,1,10,0.047,0.008563488385776754
29,sub-10,cornet-s,2,10,0.07350000000000001,0.020145305491189095
29,sub-10,cornet-s,5,10,0.093,0.01398411797560202
29,sub-10,cornet-s,10,10,0.146,0.01595131481867387
29,sub-10,cornet-s,20,10,0.16349999999999998,0.015284342024147166
29,sub-10,cornet-s,40,10,0.173,0.008563488385776748
29,sub-10,cornet-s,80,1,0.185,0.0
29,sub-10,dinov2,1,10,0.0235,0.01179689224612426
29,sub-10,dinov2,2,10,0.0355,0.018173546098045303
29,sub-10,dinov2,5,10,0.0665,0.013550317749451897
29,sub-10,dinov2,10,10,0.092,0.014944341180973262
29,sub-10,dinov2,20,10,0.101,0.012202003478482085
29,sub-10,dinov2,40,10,0.118,0.007888106377466156
29,sub-10,dinov2,80,1,0.14,0.0
43,sub-01,cornet-s,1,10,0.039,0.014491376746189439
43,sub-01,cornet-s,2,10,0.0485,0.015284342024147168
43,sub-01,cornet-s,5,10,0.08399999999999999,0.0031622776601683794
43,sub-01,cornet-s,10,10,0.10800000000000001,0.014181364924121764
43,sub-01,cornet-s,20,10,0.14150000000000001,0.010287532908007309
43,sub-01,cornet-s,40,10,0.13800000000000004,0.014567848922274772
43,sub-01,cornet-s,80,1,0.13,0.0
43,sub-01,dinov2,1,10,0.036,0.014102797200870789
