seed,participant,stage,predecessor,baseline_id,semantic_source,preprocessing,ridge_alpha,retrieval,candidate_count,metric,score,change_from_predecessor,change_from_baseline,configuration_hash
43,sub-04,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.175,0.0,0.09499999999999999,bc3cf0f38ca94783
43,sub-04,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.405,-0.014999999999999958,0.125,bc3cf0f38ca94783
43,sub-04,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.19,-0.010000000000000009,0.11,eb1653f81d9192e5
43,sub-04,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.46,0.0,0.18,eb1653f81d9192e5
43,sub-05,S3,S2,S0-cornet-ridge,cornet-s,eeg-128_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.07,0.0,0.0050000000000000044,388941b1c598c09b
43,sub-05,S3,S2,S0-cornet-ridge,cornet-s,eeg-128_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.31,0.0,0.1,388941b1c598c09b
43,sub-05,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.135,-0.009999999999999981,0.07,eb1653f81d9192e5
43,sub-05,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.35,0.009999999999999953,0.13999999999999999,eb1653f81d9192e5
43,sub-06,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.165,-0.0050000000000000044,0.095,c42cb7e6b927ed07
43,sub-06,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.43,0.0,0.16499999999999998,c42cb7e6b927ed07
43,sub-06,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,0.0,0.11499999999999999,eb1653f81d9192e5
43,sub-06,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.445,-0.015000000000000013,0.18,eb1653f81d9192e5
43,sub-07,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.16,0.0050000000000000044,0.045,c42cb7e6b927ed07
43,sub-07,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.415,0.009999999999999953,0.10499999999999998,c42cb7e6b927ed07
43,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,-0.015000000000000013,0.06999999999999999,eb1653f81d9192e5
43,sub-07,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.425,-0.020000000000000018,0.11499999999999999,eb1653f81d9192e5
43,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.195,-0.014999999999999986,0.1,c42cb7e6b927ed07
43,sub-08,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.48,0.010000000000000009,0.20499999999999996,c42cb7e6b927ed07
43,sub-08,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,-0.01999999999999999,0.09,eb1653f81d9192e5
43,sub-08,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.47,-0.015000000000000013,0.19499999999999995,eb1653f81d9192e5
43,sub-09,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.185,0.0,0.08499999999999999,79657d69ccb9ca6f
43,sub-09,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.41,0.0,0.12,79657d69ccb9ca6f
43,sub-09,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,-0.01999999999999999,0.04000000000000001,eb1653f81d9192e5
43,sub-09,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.45,-0.019999999999999962,0.16000000000000003,eb1653f81d9192e5
43,sub-10,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.185,-0.0050000000000000044,0.08499999999999999,c42cb7e6b927ed07
43,sub-10,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.48,-0.040000000000000036,0.13999999999999996,c42cb7e6b927ed07
43,sub-10,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.21,0.0,0.10999999999999999,53266c6984080713
43,sub-10,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.495,0.0,0.15499999999999997,53266c6984080713
71,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.205,0.0,0.11999999999999998,703f4ab645cd8251
71,sub-01,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.435,0.0,0.11499999999999999,703f4ab645cd8251
71,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.115,0.0,0.03,89a47ea1d3594994
71,sub-01,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.31,-0.015000000000000013,-0.010000000000000009,89a47ea1d3594994
71,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top1_accuracy,0.14,0.0050000000000000044,0.08500000000000002,469dcf1c27dbd47f
71,sub-02,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-100_white-1_remove-0_center-1,1000.0,cosine,200,top5_accuracy,0.395,-0.0050000000000000044,0.12,469dcf1c27dbd47f
71,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.075,0.0,0.019999999999999997,fd24f7db0a3d4185
71,sub-02,S3,S2,S0-cornet-ridge,dinov2,eeg-128_sem-100_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.26,0.0,-0.015000000000000013,fd24f7db0a3d4185
71,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.15,0.0,0.08499999999999999,703f4ab645cd8251
71,sub-03,S3,S2,S0-cornet-ridge,cornet-s,eeg-raw_sem-64_white-1_remove-0_center-1,100.0,cosine,200,top5_accuracy,0.395,0.0,0.10000000000000003,703f4ab645cd8251
71,sub-03,S3,S2,S0-cornet-ridge,dinov2,eeg-raw_sem-100_white-0_remove-0_center-1,100.0,cosine,200,top1_accuracy,0.115,0.0,0.05,005c35d54001d851
