seed,participant,semantic_source,s0_reference_mean,s2_reference_mean,s2_minus_s0,s2_retained,s3_reference_mean,s3_minus_s2,s3_retained
17,sub-09,cornet-s,0.018380502731090594,0.027025851109532952,0.008645348378442358,True,0.029262232918628405,0.002236381809095453,True
17,sub-09,dinov2,0.022007088560982668,0.04873013054876071,0.02672304198777804,True,0.050784366588635506,0.002054236039874799,True
17,sub-10,cornet-s,0.029624661353533758,0.04867127839588977,0.019046617042356013,True,0.04867127839588977,0.0,False
17,sub-10,dinov2,0.039722901707041215,0.07950268286909178,0.03977978116205056,True,0.0851238854257082,0.005621202556616425,True
29,sub-01,cornet-s,0.021584383246973,0.034823158596140526,0.013238775349167526,True,0.034823158596140526,0.0,False
29,sub-01,dinov2,0.020675736693056977,0.026602049852266847,0.00592631315920987,True,0.026602049852266847,0.0,False
29,sub-02,cornet-s,0.017412456052675416,0.027811313641424903,0.010398857588749488,True,0.032105328914490125,0.0042940152730652215,True
29,sub-02,dinov2,0.015418496891904923,0.02031451379573371,0.004896016903828787,True,0.02031451379573371,0.0,False
29,sub-03,cornet-s,0.020314732984385003,0.03270974162041786,0.01239500863603286,True,0.03802890221555889,0.005319160595141023,True
29,sub-03,dinov2,0.01777455570460384,0.022068242194692125,0.004293686490088284,True,0.022068242194692125,0.0,False
29,sub-04,cornet-s,0.02164378337147216,0.03452144541764205,0.012877662046169892,True,0.03452144541764205,0.0,False
29,sub-04,dinov2,0.020193960037525098,0.02406274932709084,0.0038687892895657404,True,0.02406274932709084,0.0,False
29,sub-05,cornet-s,0.016746780118712574,0.0247874966025759,0.008040716483863328,True,0.0247874966025759,0.0,False
29,sub-05,dinov2,0.013602738104631895,0.017895986217417607,0.004293248112785713,True,0.017895986217417607,0.0,False
29,sub-06,cornet-s,0.022972833758559314,0.03621347221126279,0.013240638452703474,True,0.039961707742619916,0.0037482355313571275,True
29,sub-06,dinov2,0.01735163120194289,0.02666276510867373,0.009311133906730842,True,0.02666276510867373,0.0,False
29,sub-07,cornet-s,0.024364352911263664,0.03645841552907756,0.012094062617813896,True,0.03645841552907756,0.0,False
29,sub-07,dinov2,0.019890602944141966,0.024425616139298775,0.004535013195156808,True,0.02744899480084519,0.003023378661546415,True
29,sub-08,cornet-s,0.030170221906590567,0.04751933243904364,0.017349110532453072,True,0.0537449477015878,0.006225615262544164,True
29,sub-08,dinov2,0.026721617261544664,0.033372787290565246,0.0066511700290205825,True,0.03639561798048344,0.003022830689918196,True
29,sub-09,cornet-s,0.017592848312685764,0.028477099169713388,0.010884250857027624,True,0.03101650928921504,0.0025394101195016505,True
29,sub-09,dinov2,0.014992942125428515,0.01910415406331922,0.004111211937890704,True,0.01989049334981632,0.0007863392864971008,True
29,sub-10,cornet-s,0.028355011090945754,0.04504436378302077,0.016689352692075016,True,0.050182693740848876,0.0051383299578281055,True
29,sub-10,dinov2,0.026479852179173573,0.03288991469177692,0.006410062512603346,True,0.03288991469177692,0.0,False
43,sub-01,cornet-s,0.023217338699071517,0.033917361494691246,0.01070002279561973,True,0.03814846962483671,0.004231108130145461,True
43,sub-01,dinov2,0.026843814934637944,0.0617287847304418,0.034884969795803855,True,0.06227303015159088,0.0005442454211490796,True
43,sub-02,cornet-s,0.018319020314404202,0.028597324144945074,0.010278303830540871,True,0.031016618883540684,0.0024192947385956107,True
43,sub-02,dinov2,0.021342508570276263,0.04776033036113522,0.02641782179085896,True,0.05447111970330624,0.0067107893421710155,True
43,sub-03,cornet-s,0.01898403868241318,0.031621579561096645,0.012637540878683465,True,0.03760784081643389,0.005986261255337244,True
43,sub-03,dinov2,0.02400389717421991,0.05556136405481469,0.031557466880594784,True,0.059370095653927424,0.0038087315991127343,True
43,sub-04,cornet-s,0.021039809042846996,0.03192285436229254,0.01088304531944554,True,0.035249261334245156,0.0033264069719526196,True
43,sub-04,dinov2,0.022551224387806098,0.048367702113855354,0.025816477726049256,True,0.053022063529638695,0.004654361415783341,True
43,sub-05,cornet-s,0.016264017114249893,0.025939223370770755,0.009675206256520862,True,0.025939223370770755,0.0,False
43,sub-05,dinov2,0.01892496734089096,0.04086772403272048,0.02194275669182952,True,0.04443622487002113,0.0035685008373006477,True
43,sub-06,cornet-s,0.02140475814724217,0.03567295299718562,0.01426819484994345,True,0.04075188283051457,0.00507892983332895,True
