seed,participant,repetitions,mean_similarity_to_80,mean_feature_variance,first_last_40_similarity
101,sub-05,40,0.9527505775351582,0.03657155071270507,0.8107999982252765
101,sub-05,80,1.0,0.029007319371399165,0.8107999982252765
101,sub-06,1,0.36731279531556427,0.4843115687859474,0.83877728871796
101,sub-06,2,0.48395805626355043,0.25834966386377517,0.83877728871796
101,sub-06,5,0.6641102346753683,0.11643649799746915,0.83877728871796
101,sub-06,10,0.794285127994159,0.06911877136528437,0.83877728871796
101,sub-06,20,0.8909595853236496,0.04511552455594022,0.83877728871796
101,sub-06,40,0.958957840919664,0.033414652011273464,0.83877728871796
101,sub-06,80,1.0,0.027047105893481124,0.83877728871796
101,sub-07,1,0.4494418004688403,0.5202401111519777,0.8944921711644848
101,sub-07,2,0.5800476814361158,0.2629672398297084,0.8944921711644848
101,sub-07,5,0.7398985309624034,0.1255169901499663,0.8944921711644848
101,sub-07,10,0.8534146837576634,0.07825407855604581,0.8944921711644848
101,sub-07,20,0.9255424820576548,0.05347322495941135,0.8944921711644848
101,sub-07,40,0.973847286361783,0.04195735078830361,0.8944921711644848
101,sub-07,80,1.0,0.03579473846307866,0.8944921711644848
101,sub-08,1,0.4479928277295056,0.4936225226783845,0.8888210347322303
101,sub-08,2,0.5641383328185678,0.27378494612327475,0.8888210347322303
101,sub-08,5,0.73846570772639,0.12483844219883862,0.8888210347322303
101,sub-08,10,0.8434492565263122,0.08226231031938724,0.8888210347322303
101,sub-08,20,0.9217155799381409,0.05842120089005937,0.8888210347322303
101,sub-08,40,0.9720338323113548,0.046752861768134174,0.8888210347322303
101,sub-08,80,1.0,0.040784817459620724,0.8888210347322303
101,sub-09,1,0.2618102346890631,0.5409341886404758,0.6852914912966565
101,sub-09,2,0.35674188483854635,0.27835796969551896,0.6852914912966565
101,sub-09,5,0.523709225975024,0.11866632713732031,0.6852914912966565
101,sub-09,10,0.663341614987005,0.06633525098466167,0.6852914912966565
101,sub-09,20,0.8063626939422087,0.039111152534663365,0.6852914912966565
101,sub-09,40,0.9198251844547428,0.026430521693807815,0.6852914912966565
101,sub-09,80,1.0,0.019558065399864266,0.6852914912966565
101,sub-10,1,0.45954883782435985,0.47542566029642463,0.8951630921779323
101,sub-10,2,0.5761719498106568,0.2536824328580034,0.8951630921779323
101,sub-10,5,0.7372004070502404,0.12198284821922142,0.8951630921779323
101,sub-10,10,0.8524328749089334,0.07145295745033123,0.8951630921779323
101,sub-10,20,0.9283659044041775,0.05124852116236784,0.8951630921779323
101,sub-10,40,0.9731129584623645,0.03977516621715122,0.8951630921779323
101,sub-10,80,1.0,0.034019655643308486,0.8951630921779323
